¿En qué presentación sueles comprar tu kola granulada;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada las personas adultas de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada los niños de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada las personas adultas de la casa?;¿con que frecuencia (cantidad de veces que toman el producto) consumen Kola Granulada los niños de la casa?;¿En qué lugar sueles sueles comprar la kola granulada?;Que presentación acostumbras a comprar en la tienda?;¿Que presentación acostumbras comprar en el supermercado?;¿Que presentación acostumbras comprar en la tienda?;¿Que presentación acostumbras comprar en la drogueria?;¿Con que frecuencia realizas la compra de tu kola granulada?
Sobre 15 g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En la tienda;Tarro de 135 gr;;;;Cada 15 días
Sobre 100g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Otro ¿cual?
Sobre 25g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Sobre 400g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En una tienda de descuento (D1, Ara..);;;Bipack (2 Tarros X 135 gr);;2 o 3 veces a la semana
Sobre 30g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En un mini mercado;Sobre (sachet) 25 gr;;;;A diario
Sobre 100g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 200g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 380g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En la tienda;Sobre (sachet) 25 gr;;;;1 vez a la semana
Sobre 30g;1 vez al día;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;En la tienda;Sobre (sachet) 25 gr;;;;Cada 15 días
Sobre 30g;2 veces al día;Día de por medio;2 veces al día;Día de por medio;En la tienda;Sobre (sachet) 25 gr;;;;A diario
Sobre 30g;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;En un supermercado de cadena;;Tarro 135 gr;;;2 o 3 veces a la semana
Sobre 250g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Sobre 15 g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Tarro 200g;2 o menos veces a la semana;Día de por medio;2 o menos veces a la semana;Día de por medio;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Sobre 25g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Tarro 135g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 135 gr;;;Cada 15 días
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Sobre 100g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En la tienda;Sobre (sachet) 25 gr;;;;1 vez a la semana
Sobre 15 g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;Una vez al mes
Sobre 25g;1 vez al día;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;En la tienda;Otro ¿Cual?;;;;1 vez a la semana
Sobre 15 g;Día de por medio;2 veces al día;Día de por medio;2 veces al día;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Sobre 30g;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;En una tienda de descuento (D1, Ara..);;;Bipack (2 Tarros X 135 gr);;Cada 15 días
Sobre 25g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un mini mercado;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Sobre 15 g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Tarro 200g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr;;;1 vez a la semana
Tarro 330g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En la tienda;Tarro de 135 gr;;;;Cada 15 días
Sobre 30g;1 vez al día;2 o menos veces a la semana;1 vez al día;2 o menos veces a la semana;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 135g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En un mini mercado;Tarro de 135 gr;;;;Una vez al mes
Tarro 380g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Sobre 30g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Sobre 30g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Sobre (sachet) 25 gr;;;;Una vez al mes
Sobre 15 g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Tarro 135g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En la tienda;Tarro de 135 gr;;;;2 o 3 veces a la semana
Tarro 380g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En una droguería;;;;Tarro 380gr;Cada 15 días
Sobre 400g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Cada 15 días
Sobre 25g;1 vez al día;2 o menos veces a la semana;1 vez al día;2 o menos veces a la semana;En un supermercado de cadena;;Tarro 135 gr;;;Cada 15 días
Sobre 400g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un mini mercado;Sobre (sachet) 25 gr;;;;Cada 15 días
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Bipack (2 Tarros X 135 gr);;A diario
Tarro 200g;2 o menos veces a la semana;Día de por medio;2 o menos veces a la semana;Día de por medio;En un mini mercado;Tarro de 135 gr;;;;Una vez al mes
Tarro 135g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En la tienda;Tarro de 135 gr;;;;Cada 15 días
Sobre 15 g;1 vez al día;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;En la tienda;Sobre (sachet) 25 gr;;;;1 vez a la semana
Sobre 30g;Día de por medio;1 vez al día;Día de por medio;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Tarro 380g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Sobre 25g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;1 vez a la semana
Tarro 380g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Otro ¿cual?
Sobre 250g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un mini mercado;Sobre (sachet) 25 gr;;;;1 vez a la semana
Sobre 250g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;1 vez a la semana
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Tarro 200g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En una droguería;;;;Tarro 135 gr;Cada 15 días
Sobre 15 g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;Otro ¿cual?
Tarro 200g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En la tienda;Tarro de 135 gr;;;;Cada 15 días
Tarro 380g;Día de por medio;Día de por medio;Día de por medio;Día de por medio;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Tarro 380g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Sobre (sachet) 25 gr;;;;1 vez a la semana
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Cada 15 días
Sobre 250g;2 o menos veces a la semana;Día de por medio;2 o menos veces a la semana;Día de por medio;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Sobre 100g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Cada 15 días
Sobre 250g;2 veces al día;Solo una par de veces al mes;2 veces al día;Solo una par de veces al mes;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;1 vez a la semana
Sobre 25g;2 o menos veces a la semana;Solo una par de veces al mes;2 o menos veces a la semana;Solo una par de veces al mes;En un distribuidor de la plaza de mercado;;Sobre (sachet) 25gr;;;Cada 15 días
Tarro 200g;2 o menos veces a la semana;1 vez al día;2 o menos veces a la semana;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Una vez al mes
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Una vez al mes
Sobre 30g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;1 vez a la semana
Tarro 330g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Una vez al mes
Tarro 200g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un mini mercado;Tarro de 135 gr;;;;Una vez al mes
Sobre 100g;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;En un supermercado de cadena;;Tarro 135 gr;;;1 vez a la semana
Tarro 135g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En una droguería;;;;Tarro 135 gr;Una vez al mes
Tarro 200g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada dos meses
Sobre 250g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Sobre (sachet) 25gr;;;Una vez al mes
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Cada dos meses
Sobre 15 g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Sobre (sachet) 25gr;;;A diario
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Una vez al mes
Tarro 200g;2 o menos veces a la semana;Solo una par de veces al mes;2 o menos veces a la semana;Solo una par de veces al mes;En un mini mercado;Tarro de 135 gr;;;;Cada dos meses
Tarro 135g;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Tarro 135g;1 vez al día;Día de por medio;1 vez al día;Día de por medio;En una droguería;;;;Tarro 135 gr;Cada 15 días
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una droguería;;;;Tarro 135 gr;Cada dos meses
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Sobre 15 g;2 o menos veces a la semana;1 vez al día;2 o menos veces a la semana;1 vez al día;En un mini mercado;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Tarro 330g;1 vez al día;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;En un mini mercado;Tarro de 135 gr;;;;Una vez al mes
Tarro 330g;1 vez al día;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Sobre 15 g;2 o menos veces a la semana;Día de por medio;2 o menos veces a la semana;Día de por medio;En una droguería;;;;Tarro 135 gr;2 o 3 veces a la semana
Tarro 200g;Día de por medio;Día de por medio;Día de por medio;Día de por medio;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Sobre 25g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una droguería;;;;Tarro 135 gr;Una vez al mes
Sobre 250g;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;1 vez al día;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Sobre 15 g;1 vez al día;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;En un supermercado de cadena;;Sobre (sachet) 25gr;;;1 vez a la semana
Sobre 25g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Bipack (2 Tarros X 135 gr);;1 vez a la semana
Tarro 380g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr;;;Una vez al mes
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 200g;Día de por medio;Día de por medio;Día de por medio;Día de por medio;En un mini mercado;Otro ¿Cual?;;;;Una vez al mes
Sobre 25g;Día de por medio;Día de por medio;Día de por medio;Día de por medio;En una droguería;;;;Tarro 135 gr;2 o 3 veces a la semana
Tarro 380g;Día de por medio;Día de por medio;Día de por medio;Día de por medio;En una tienda de descuento (D1, Ara..);;;Otro ¿cuál?;;Una vez al mes
Tarro 200g;1 vez al día;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Sobre 30g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 135g;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Una vez al mes
Tarro 200g;Día de por medio;2 o menos veces a la semana;Día de por medio;2 o menos veces a la semana;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Tarro 135g;Solo una par de veces al mes;2 veces al día;Solo una par de veces al mes;2 veces al día;En una droguería;;;;Tarro 135 gr;Una vez al mes
Sobre 15 g;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;Solo una par de veces al mes;En la tienda;Sobre (sachet) 25 gr;;;;Cada 15 días
Tarro 200g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En un supermercado de cadena;;Otro ¿cuál?;;;Una vez al mes
Sobre 25g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Sobre 400g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Cada 15 días
Tarro 200g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En un distribuidor de la plaza de mercado;;Tarro 330 gr;;;1 vez a la semana
Sobre 250g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 135 gr;;;Cada trimestre
Sobre 100g;2 o menos veces a la semana;Solo una par de veces al mes;2 o menos veces a la semana;Solo una par de veces al mes;En un mini mercado;Tarro de 135 gr;;;;Cada dos meses
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Una vez al mes
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;1 vez a la semana
Sobre 25g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En la tienda;Tarro de 135 gr;;;;2 o 3 veces a la semana
Sobre 100g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Sobre 15 g;Día de por medio;1 vez al día;Día de por medio;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Tarro 330g;Día de por medio;1 vez al día;Día de por medio;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 380g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un mini mercado;Tarro de 135 gr;;;;Una vez al mes
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Sobre (sachet) 25 gr;;;;1 vez a la semana
Tarro 380g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;A diario
Tarro 200g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Sobre 15 g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;A diario
Sobre 30g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una droguería;;;;Tarro 135 gr;2 o 3 veces a la semana
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Sobre 30g;Día de por medio;1 vez al día;Día de por medio;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;1 vez a la semana
Tarro 200g;Día de por medio;2 o menos veces a la semana;Día de por medio;2 o menos veces a la semana;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Tarro 200g;Día de por medio;Día de por medio;Día de por medio;Día de por medio;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Cada dos meses
Tarro 330g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;1 vez a la semana
Sobre 15 g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Sobre 400g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;Otro ¿cuál?;Tarro de 135 gr;;;;2 o 3 veces a la semana
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Cada 15 días
Tarro 380g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una droguería;;;;Tarro 380gr;Una vez al mes
Tarro 135g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 200g;Día de por medio;Día de por medio;Día de por medio;Día de por medio;En una tienda de descuento (D1, Ara..);;;Tarro 200 gr;;Cada 15 días
Sobre 100g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En una tienda de descuento (D1, Ara..);;;Otro ¿cuál?;;Cada 15 días
Sobre 30g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Tarro 380g;Día de por medio;1 vez al día;Día de por medio;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;1 vez a la semana
Sobre 15 g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
Sobre 400g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Tarro 380g;2 o menos veces a la semana;2 veces al día;2 o menos veces a la semana;2 veces al día;En un distribuidor de la plaza de mercado;;Tarro 330 gr + doypack 80gr;;;A diario
Tarro 200g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 135 gr;;;2 o 3 veces a la semana
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada dos meses
Sobre 25g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Sobre (sachet) 25 gr;;;;1 vez a la semana
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Cada dos meses
Tarro 330g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Sobre 400g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Cada 15 días
Sobre 25g;2 veces al día;Día de por medio;2 veces al día;Día de por medio;En una droguería;;;;Tarro 135 gr;1 vez a la semana
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;1 vez a la semana
Tarro 380g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En una tienda de descuento (D1, Ara..);;;Otro ¿cuál?;;Cada 15 días
Tarro 380g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Una vez al mes
Sobre 15 g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En la tienda;Sobre (sachet) 25 gr;;;;A diario
Tarro 330g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr;;;Una vez al mes
Tarro 135g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 135g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En la tienda;Tarro de 135 gr;;;;2 o 3 veces a la semana
Tarro 135g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En una droguería;;;;Tarro 135 gr;A diario
Tarro 330g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;1 vez a la semana
Tarro 380g;1 vez al día;2 veces al día;1 vez al día;2 veces al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Sobre 25g;1 vez al día;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;En un mini mercado;Sobre (sachet) 25 gr;;;;Una vez al mes
Otro ¿cuál?;2 o menos veces a la semana;Solo una par de veces al mes;2 o menos veces a la semana;Solo una par de veces al mes;En la tienda;Sobre (sachet) 25 gr;;;;1 vez a la semana
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 330 gr + doypack 80gr;;;Una vez al mes
Sobre 25g;2 veces al día;Día de por medio;2 veces al día;Día de por medio;En un supermercado de cadena;;Tarro 135 gr;;;2 o 3 veces a la semana
Sobre 250g;2 veces al día;2 o menos veces a la semana;2 veces al día;2 o menos veces a la semana;En un mini mercado;Sobre (sachet) 25 gr;;;;Una vez al mes
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Tarro 135g;Solo una par de veces al mes;2 o menos veces a la semana;Solo una par de veces al mes;2 o menos veces a la semana;En un supermercado de cadena;;Tarro 135 gr;;;Una vez al mes
Sobre 30g;1 vez al día;Solo una par de veces al mes;1 vez al día;Solo una par de veces al mes;En un supermercado de cadena;;Tarro 135 gr;;;Cada dos meses
Sobre 250g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En la tienda;Tarro de 135 gr;;;;Una vez al mes
Tarro 200g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;Cada 15 días
Tarro 380g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un distribuidor de la plaza de mercado;;Tarro 330 gr + doypack 80gr;;;2 o 3 veces a la semana
Sobre 30g;2 veces al día;1 vez al día;2 veces al día;1 vez al día;En la tienda;Tarro de 135 gr;;;;1 vez a la semana
Sobre 100g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Tarro de 135 gr;;;;A diario
Sobre 30g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un mini mercado;Tarro de 135 gr;;;;Una vez al mes
Sobre 250g;1 vez al día;1 vez al día;1 vez al día;1 vez al día;En un mini mercado;Otro ¿Cual?;;;;2 o 3 veces a la semana
Sobre 250g;2 veces al día;2 veces al día;2 veces al día;2 veces al día;En un supermercado de cadena;;Tarro 330 gr;;;Cada 15 días
Sobre 25g;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;2 o menos veces a la semana;En un mini mercado;Sobre (sachet) 25 gr;;;;2 o 3 veces a la semana
